home	draw	away	results
0	0	0	3
0	0	0	1
31	11.5	1.01	3
36	10.25	1.01	3
15.5	6.95	1.11	3
12.25	7.4	1.12	3
12.5	7.5	1.16	3
13.25	5.2	1.18	3
11.5	5.35	1.19	3
11.5	5.4	1.19	3
10.75	5.55	1.2	3
12.25	5.05	1.2	3
11.25	5.4	1.2	1
10.5	5.1	1.22	3
9.6	4.95	1.24	3
12.75	6.95	1.24	2
9.6	4.95	1.24	3
10.5	5.85	1.24	3
7.5	5.55	1.25	3
8.8	4.85	1.26	3
8.1	4.85	1.28	3
10.5	4.85	1.3	3
6.7	5.2	1.3	3
8.8	4.25	1.31	3
8	4.5	1.31	1
8.2	4.3	1.32	3
6.8	4.8	1.32	3
8.1	5.1	1.33	3
6.55	4.85	1.33	3
7.4	4.45	1.33	2
5.65	5.2	1.35	3
7	4.25	1.36	3
7.6	4.1	1.36	3
6.2	4.45	1.38	3
6.35	4.33	1.38	3
8.4	5.3	1.38	2
8.5	4.95	1.4	2
8.2	4.25	1.4	3
7	4.4	1.41	2
6.75	4.5	1.41	2
9.1	4.65	1.42	2
6.45	4.55	1.42	3
6	4.05	1.43	3
6.75	4.45	1.43	3
5.3	4.45	1.43	1
5.7	4.2	1.43	3
6.55	4.45	1.44	3
6.9	4.3	1.44	2
5.75	4.1	1.44	3
7.5	4.9	1.44	1
5.6	4.1	1.45	3
5.85	4	1.45	1
8	3.35	1.45	3
7.2	3.85	1.47	3
5.7	3.88	1.47	3
5.05	4.3	1.47	3
6.2	4.2	1.47	2
5.65	4.5	1.47	2
6.15	5.2	1.47	2
5.25	4.05	1.48	2
6.7	4.8	1.49	2
5.15	4.05	1.49	1
5.6	3.8	1.49	3
4.6	4.45	1.49	3
5.2	3.98	1.5	2
5.1	4	1.5	3
5.1	3.94	1.51	1
5.6	3.72	1.51	3
5.2	4.5	1.52	1
4.45	4.33	1.52	3
5.1	3.84	1.53	3
5.1	3.84	1.53	3
4.95	3.94	1.53	2
4.8	3.98	1.53	3
5.5	4.15	1.54	1
5.85	3.8	1.55	3
5.1	3.62	1.56	3
5.95	3.34	1.56	2
5.55	4.6	1.56	3
6.2	3.24	1.56	3
5.25	4.1	1.57	3
4.45	3.95	1.58	1
4.8	3.68	1.58	3
4.33	3.98	1.59	1
4.25	4.05	1.59	2
5.6	3.62	1.6	3
6.25	3.94	1.6	2
5.25	3.84	1.61	3
5	3.98	1.61	2
5	3.42	1.61	2
4.33	3.88	1.61	3
4.15	3.96	1.62	3
5.35	3.68	1.63	3
4.33	3.72	1.64	2
5.2	3.25	1.64	3
4.5	3.58	1.64	1
3.98	3.98	1.65	1
4.25	3.68	1.65	2
4.15	3.74	1.67	3
3.92	3.88	1.67	1
4.2	3.64	1.67	3
3.72	4.1	1.67	3
4.25	3.62	1.67	3
4.45	3.98	1.68	3
4.95	4.15	1.68	2
4.2	3.58	1.68	3
3.58	4.25	1.68	3
4.65	4.5	1.69	3
4.4	3.84	1.69	2
4.6	3.72	1.69	3
3.62	4.05	1.7	1
4.05	3.64	1.7	3
4.65	4.4	1.7	2
4.95	3.52	1.71	2
4.85	4.05	1.71	2
4.33	3.4	1.71	3
4.9	3.5	1.72	2
4.05	3.54	1.72	3
5.1	4	1.72	3
4.3	3.84	1.72	3
3.78	3.74	1.72	3
3.82	3.7	1.72	1
4.35	3.68	1.73	1
3.8	3.7	1.73	3
3.82	3.7	1.73	3
3.68	3.82	1.73	1
4.85	3.36	1.74	3
4.45	3.68	1.74	3
4.55	3.14	1.74	3
3.98	3.44	1.75	3
4.05	3.42	1.75	2
4.2	3.68	1.76	1
4.05	3.4	1.76	2
3.42	3.92	1.77	1
3.66	3.68	1.77	3
4.7	2.98	1.78	1
3.65	3.66	1.78	2
4.2	3.18	1.79	2
3.62	3.6	1.79	1
4.4	3.08	1.79	3
4.5	4	1.8	3
3.52	3.66	1.8	3
3.58	3.56	1.81	3
3.7	3.44	1.81	3
4.45	3.32	1.81	2
3.88	3.72	1.81	2
4.1	3.48	1.83	2
4.2	3.4	1.83	3
3.88	3.24	1.83	2
3.64	3.46	1.83	3
3.26	3.8	1.84	3
3.92	3.2	1.84	1
3.72	3.32	1.85	3
3.6	3.75	1.87	1
3.46	3.46	1.87	1
4.05	3.42	1.88	2
3.46	3.45	1.88	2
3.6	3.72	1.9	3
3.18	3.68	1.9	1
3.84	3.06	1.9	3
3.4	3.4	1.91	2
4.05	3.25	1.91	3
3.78	3.52	1.91	2
3.08	3.74	1.92	3
3.55	3.22	1.92	1
3.56	3.18	1.93	2
3.44	3.28	1.94	3
3.4	3.7	1.94	3
3.88	3.32	1.95	1
3.58	3.14	1.95	1
3.28	3.36	1.96	1
3.12	3.54	1.96	2
3.32	3.32	1.97	2
3.52	3.56	1.97	1
3.52	3.52	1.97	3
3.42	3.22	1.97	2
3.7	2.99	1.98	1
3.12	3.48	1.98	3
3.5	3.12	1.98	2
3.35	3.68	1.99	3
3.1	3.48	1.99	3
3.24	3.74	1.99	2
3.2	3.35	1.99	1
2.99	3.65	1.99	1
2.89	3.74	2	1
3	3.58	2	3
3.04	3.52	2	3
3.44	3.08	2.01	3
2.89	3.72	2.01	3
3.08	3.44	2.01	2
3.08	3.42	2.02	3
3.06	3.44	2.02	3
3.28	3.22	2.02	3
3.04	3.46	2.02	1
3.42	3.08	2.02	3
2.95	3.62	2.02	3
3.02	3.46	2.03	3
3.02	3.44	2.04	1
3.5	3.38	2.04	3
3.44	3.44	2.04	1
2.9	3.6	2.04	1
3.84	3.08	2.05	2
3.38	3.38	2.05	2
3	3.45	2.05	3
3.3	3.1	2.05	2
3.12	3.28	2.05	3
3.54	2.9	2.06	2
3.26	3.14	2.06	1
3.6	3.24	2.06	1
